Identifier,Crime Type,Date/Time,Address,Agency
14007906,Theft,2/4/14 11:36,400 Block STUDIO CR,San Mateo Police Department
14007915,Theft from Vehicle,2/4/14 12:30,400 Block E HILLSDALE BLVD,San Mateo Police Department
14007925,Theft,2/4/14 13:23,300 Block BALDWIN AV,San Mateo Police Department
14007960,Theft from Vehicle,2/4/14 15:47,1500 Block FASHION ISLAND BLVD,San Mateo Police Department
14007989,Theft,2/4/14 18:31,1700 Block S GRANT ST,San Mateo Police Department
14008138,Theft,2/5/14 13:01,1 Block E SANTA INEZ AV,San Mateo Police Department
14008168,Theft,2/5/14 16:32,300 Block S EL CAMINO REAL,San Mateo Police Department
14008193,Breaking & Entering,2/5/14 19:15,300 Block N EL CAMINO REAL,San Mateo Police Department
14008208,Theft from Vehicle,2/5/14 20:32,1800 Block S GRANT ST,San Mateo Police Department
14008272,Theft of Vehicle,2/6/14 8:04,300 Block HIGHLAND AV,San Mateo Police Department
14008338,Theft,2/6/14 14:23,100 Block W 25TH AV,San Mateo Police Department
14008348,Assault,2/6/14 15:35,2400 Block S DELAWARE ST,San Mateo Police Department
14008358,Breaking & Entering,2/6/14 16:03,200 Block W 20TH AV,San Mateo Police Department
14008366,Theft from Vehicle,2/6/14 16:32,2200 Block BRIDGEPOINTE PKY,San Mateo Police Department
14008423,Theft,2/6/14 19:47,1 Block MOUNDS RD,San Mateo Police Department
14008454,Theft from Vehicle,2/6/14 22:21,200 Block 9TH AV,San Mateo Police Department
14008573,Theft,2/7/14 14:21,900 Block LAUREL AV,San Mateo Police Department
14008685,Theft from Vehicle,2/8/14 0:05,1 Block BOVET RD,San Mateo Police Department
14008758,Theft,2/8/14 14:10,1 Block W 3RD AV,San Mateo Police Department
14008760,Theft,2/8/14 14:20,1600 Block S EL CAMINO REAL,San Mateo Police Department
14008786,Theft,2/8/14 16:27,1600 Block WOLFE DR,San Mateo Police Department
14008975,Theft of Vehicle,2/9/14 15:31,1 Block OTTAWA ST,San Mateo Police Department
14008986,Breaking & Entering,2/9/14 16:20,600 Block N IDAHO ST,San Mateo Police Department
14009046,Theft,2/9/14 22:56,800 Block N HUMBOLDT ST,San Mateo Police Department
14009056,Theft,2/9/14 23:42,100 Block BOVET RD,San Mateo Police Department
14009059,Theft,2/9/14 23:55,600 Block VANESSA DR,San Mateo Police Department
14009085,Theft from Vehicle,2/10/14 5:59,200 Block S FREMONT ST,San Mateo Police Department
14009090,Theft from Vehicle,2/10/14 8:11,200 Block S FREMONT ST,San Mateo Police Department
14009091,Theft,2/10/14 8:22,1 Block S IDAHO ST,San Mateo Police Department
14009167,Theft,2/10/14 15:23,1400 Block S EL CAMINO REAL,San Mateo Police Department
14009184,Theft from Vehicle,2/10/14 16:21,100 Block S FREMONT ST,San Mateo Police Department
14009197,Theft of Vehicle,2/10/14 16:46,100 Block N KINGSTON ST,San Mateo Police Department
14009277,Theft from Vehicle,2/10/14 21:56,2900 Block S NORFOLK ST,San Mateo Police Department
14009359,Theft,2/11/14 10:17,200 Block N SAN MATEO DR,San Mateo Police Department
14009372,Breaking & Entering,2/11/14 11:22,1200 Block MONTE DIABLO AV,San Mateo Police Department
14009407,Theft from Vehicle,2/11/14 14:07,2900 Block S NORFOLK ST,San Mateo Police Department
14009481,Theft,2/11/14 19:15,1 Block EL CERRITO AV,San Mateo Police Department
14009572,Theft from Vehicle,2/12/14 2:24,500 Block S EL CAMINO REAL,San Mateo Police Department
14009594,Theft from Vehicle,2/12/14 9:08,1000 Block COLLEGE AV,San Mateo Police Department
14009604,Breaking & Entering,2/12/14 10:19,200 Block N FREMONT ST,San Mateo Police Department
14009621,Theft,2/12/14 12:18,100 Block N RAILROAD AV,San Mateo Police Department
14009626,Theft,2/12/14 12:42,1600 Block S EL CAMINO REAL,San Mateo Police Department
14009646,Assault,2/12/14 14:05,2000 Block WINWARD WAY,San Mateo Police Department
14009675,Assault,2/12/14 16:53,1900 Block S DELAWARE ST,San Mateo Police Department
14009828,Theft of Vehicle,2/13/14 11:03,900 Block PENINSULA AV,San Mateo Police Department
14009845,Theft,2/13/14 12:05,1700 Block S DELAWARE ST,San Mateo Police Department
