131201073,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/1/2013,0:00
131201099,Theft,3400 Block GRANADA AV,Santa Clara City Police Department,12/1/2013,0:00
130012062,Theft,3400 Block GRANADA AV,Santa Clara City Police Department,12/1/2013,0:00
130012055,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/1/2013,0:00
130012117,Theft,2000 Block RUTLEDGE PL,Santa Clara City Police Department,12/2/2013,0:00
131202213,Theft,2000 Block RUTLEDGE PL,Santa Clara City Police Department,12/2/2013,0:00
130012123,Theft,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/3/2013,0:00
130012127,Theft,EMMETT CT & EMMETT PL,Santa Clara City Police Department,12/3/2013,0:00
131203031,Theft,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/3/2013,0:00
131203153,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/3/2013,0:00
130012131,Vehicle Recovery,EL CAMINO REAL & HALFORD AV,Santa Clara City Police Department,12/3/2013,0:00
130012166,Theft,MONROE ST & MONTICELLO WAY,Santa Clara City Police Department,12/4/2013,0:00
130012206,Theft,3200 Block MONROE ST,Santa Clara City Police Department,12/5/2013,0:00
131209141,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/9/2013,0:00
131209182,Breaking & Entering,3700 Block TAMARACK LN,Santa Clara City Police Department,12/9/2013,0:00
131209207,Theft,1400 Block HALFORD AV,Santa Clara City Police Department,12/9/2013,0:00
130012336,Theft,1400 Block HALFORD AV,Santa Clara City Police Department,12/9/2013,0:00
131209178,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/9/2013,0:00
130050859,Theft,3500 Block AGATE DR,Santa Clara City Police Department,12/9/2013,0:00
130012323,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/9/2013,0:00
130012331,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/9/2013,0:00
130012330,Breaking & Entering,3700 Block TAMARACK LN,Santa Clara City Police Department,12/9/2013,0:00
130012358,Breaking & Entering,3300 Block MONROE ST.,Santa Clara City Police Department,12/10/2013,0:00
131210021,Breaking & Entering,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/10/2013,0:00
130050862,Theft,1400 Block HALFORD AVE,Santa Clara City Police Department,12/10/2013,0:00
131210165,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/10/2013,0:00
130012345,Other Sexual Offense,3200 Block MONROE ST,Santa Clara City Police Department,12/10/2013,0:00
131210132,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/10/2013,0:00
130012354,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/10/2013,0:00
130012339,Breaking & Entering,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/10/2013,0:00
130012360,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/10/2013,0:00
131210158,Breaking & Entering,3300 Block MONROE ST,Santa Clara City Police Department,12/10/2013,0:00
131210037,Other Sexual Offense,3200 Block MONROE ST,Santa Clara City Police Department,12/10/2013,0:00
130012400,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012399,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012392,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
131211188,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012375,Theft,3600 Block FLORA VISTA AV,Santa Clara City Police Department,12/11/2013,0:00
131211008,Vehicle Recovery,3300 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012377,Theft,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/11/2013,0:00
131211088,Theft,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/11/2013,0:00
131211200,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
131211133,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
131211198,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012398,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
131211197,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012391,Theft,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
131211185,Theft,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
131211132,Assault,3200 Block SAN JUAN AV,Santa Clara City Police Department,12/11/2013,0:00
131211194,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
131211190,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012397,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012382,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012401,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/11/2013,0:00
130012430,Theft,2000 Block LAWRENCE CT,Santa Clara City Police Department,12/12/2013,0:00
131212144,Theft,2000 Block LAWRENCE CT,Santa Clara City Police Department,12/12/2013,0:00
131213050,Vehicle Recovery,3700 Block POINCIANA DR,Santa Clara City Police Department,12/13/2013,0:00
131213009,Assault,3300 Block GRANADA AV,Santa Clara City Police Department,12/13/2013,0:00
131213220,Theft,3400 Block EL CAMINO REAL,Santa Clara City Police Department,12/13/2013,0:00
130012482,Theft,3400 Block EL CAMINO REAL,Santa Clara City Police Department,12/13/2013,0:00
131214036,Theft,1900 Block SANTA ROSA CT,Santa Clara City Police Department,12/14/2013,0:00
130012521,Theft,3300 Block SCOTT BLVD,Santa Clara City Police Department,12/15/2013,0:00
130012518,Theft,2400 Block PACIFIC DR,Santa Clara City Police Department,12/15/2013,0:00
130012553,Vehicle Recovery,MIRAMAR WAY & TERSTENA PL,Santa Clara City Police Department,12/16/2013,0:00
131216056,Vehicle Recovery,MIRAMAR WAY & TERSTENA PL,Santa Clara City Police Department,12/16/2013,0:00
130012547,Theft,3400 Block AGATE DR,Santa Clara City Police Department,12/16/2013,0:00
130012586,Assault,3500 Block MONROE ST,Santa Clara City Police Department,12/16/2013,0:00
S133500034,Assault,1 Block BLOCK GRANT RD,Santa Clara County Sheriff's Office,12/16/2013,4:36
131217190,Theft,3100 Block SAN JUAN AV,Santa Clara City Police Department,12/17/2013,0:00
131217227,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/2013,0:00
130012601,Theft,3100 Block SAN JUAN AV,Santa Clara City Police Department,12/17/2013,0:00
130012630,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/2013,0:00
130012628,Assault,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/2013,0:00
131217066,Theft,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/2013,0:00
130012605,Theft,3500 Block EL CAMINO REAL,Santa Clara City Police Department,12/17/2013,0:00
130012623,Theft,3100 Block SAN JUAN AV,Santa Clara City Police Department,12/17/2013,0:00
130050891,Theft,3500 Block GRANADA AVE,Santa Clara City Police Department,12/19/2013,0:00
130012705,Theft,3700 Block EL CAMINO REAL,Santa Clara City Police Department,12/19/2013,0:00
130012696,Theft,2900 Block SAN YSIDRO WAY,Santa Clara City Police Department,12/19/2013,0:00
131219109,Theft,2900 Block SAN YSIDRO WAY,Santa Clara City Police Department,12/19/2013,0:00
131219144,Theft,3300 Block CABRILLO AV,Santa Clara City Police Department,12/19/2013,0:00
130012699,Theft,2800 Block LAKESIDE DR,Santa Clara City Police Department,12/19/2013,0:00
130012693,Breaking & Entering,2900 Block LAKESIDE DR,Santa Clara City Police Department,12/19/2013,0:00
